i	n	method	time	mu_1	mu_2	mu_3	mu_4	mu_1_ci_l	mu_2_ci_l	mu_3_ci_l	mu_4_ci_l	mu_1_ci_u	mu_2_ci_u	mu_3_ci_u	mu_4_ci_u	mu_1_bias	mu_2_bias	mu_3_bias	mu_4_bias	mu_1_coverage	mu_2_coverage	mu_3_coverage	mu_4_coverage	coverage
17	1000	cavi	0.0519999999999925	0.00570357570116701	4.91616254164518	10.0705481225288	19.9279369439641	-0.121443952672439	4.79873772903158	9.94775168229672	19.7995330746762	0.132851104074773	5.03358735425879	10.1933445627609	20.0563408132519	0.00570357570116701	-0.0838374583548198	0.0705481225288001	-0.0720630560359012	TRUE	TRUE	TRUE	TRUE	TRUE
18	1000	gibbs	77.297	-0.0267569485195611	4.9303269454557	10.0806593231012	19.9059358855078	-0.157865114761348	4.79413255548136	9.95608951182477	19.7834913098805	0.103831132629378	5.06571350050741	10.2090324127984	20.0307513850621	-0.0267569485195611	-0.0696730545442996	0.0806593231011998	-0.0940641144921983	TRUE	TRUE	TRUE	TRUE	TRUE
18	1000	cavi	0.0529999999999973	-0.0278516170035577	4.92813313967691	10.0796567141204	19.9052686887807	-0.15312501106491	4.80386897973303	9.95773323750313	19.7818002942652	0.0974217770577946	5.05239729962079	10.2015801907377	20.0287370832961	-0.0278516170035577	-0.0718668603230901	0.0796567141204001	-0.0947313112192987	TRUE	TRUE	TRUE	TRUE	TRUE
19	1000	gibbs	77.107	-0.0312369771391264	4.9285464221443	10.0247288030075	20.0268862328567	-0.154699489644997	4.79791853460937	9.89943111878022	19.8953113388387	0.0939064448654472	5.06098445173131	10.1502672799057	20.1540554968186	-0.0312369771391264	-0.0714535778557002	0.0247288030075001	0.0268862328567003	TRUE	TRUE	TRUE	TRUE	TRUE
19	1000	cavi	0.0510000000000019	-0.0311150023379167	4.92827556148703	10.0254181922699	20.0268173662443	-0.154033996160228	4.80531464328225	9.90283626263977	19.9002999102688	0.0918039914843946	5.0512364796918	10.1480001219001	20.1533348222198	-0.0311150023379167	-0.0717244385129696	0.0254181922698997	0.0268173662442983	TRUE	TRUE	TRUE	TRUE	TRUE
20	1000	gibbs	77.271	-0.0243039048513614	4.94184593100442	9.9695914826686	19.9584861199308	-0.151818145471023	4.81594430948037	9.84341870658834	19.8299357238977	0.100826693848139	5.06703919329292	10.0975147318342	20.0879552384602	-0.0243039048513614	-0.05815406899558	-0.0304085173314004	-0.0415138800691999	TRUE	TRUE	TRUE	TRUE	TRUE
20	1000	cavi	0.0490000000000066	-0.0233189738257146	4.94153346601716	9.96807285574587	19.9580845418429	-0.14813227774434	4.82195828594803	9.84550695780361	19.8296806725547	0.101494330092911	5.0611086460863	10.0906387536881	20.0864884111311	-0.0233189738257146	-0.0584665339828403	-0.03192714425413	-0.0419154581570993	TRUE	TRUE	TRUE	TRUE	TRUE
21	1000	gibbs	77.221	-0.00800669919303234	4.95001994185117	9.86146425798272	19.8614502733229	-0.136694645715432	4.82383132085227	9.72516295212853	19.7385939259554	0.120574126865528	5.07957387876239	9.9950979256235	19.9864682073551	-0.00800669919303234	-0.0499800581488303	-0.138535742017281	-0.138549726677098	TRUE	TRUE	FALSE	FALSE	FALSE
21	1000	cavi	0.0520000000000067	-0.00664929841803381	4.95040845806946	9.86195062799297	19.8628348754226	-0.130577975435698	4.83172645782842	9.73246762234538	19.7393664809898	0.117279378599631	5.0690904583105	9.99143363364056	19.9863032698555	-0.00664929841803381	-0.0495915419305399	-0.13804937200703	-0.1371651245774	TRUE	TRUE	FALSE	FALSE	FALSE
22	1000	gibbs	77.896	-0.129230201332592	4.83895758722372	9.94047047476801	19.8379721222165	-0.26001819700881	4.70775758245883	9.82363941947732	19.7130167653043	0.00348211221007651	4.97238562547059	10.0594601982104	19.9654968499505	-0.129230201332592	-0.16104241277628	-0.0595295252319907	-0.162027877783501	TRUE	FALSE	TRUE	FALSE	FALSE
22	1000	cavi	0.0480000000000018	-0.126818957296397	4.83906982413979	9.93917232487303	19.8369836975168	-0.254829993663827	4.7134605263428	9.82267987345068	19.7112496388922	0.00119207907103375	4.96467912193679	10.0556647762954	19.9627177561414	-0.126818957296397	-0.16093017586021	-0.0608276751269692	-0.1630163024832	TRUE	FALSE	TRUE	FALSE	FALSE
23	1000	gibbs	78.378	-0.0560709583355836	5.08120263011033	9.93688976671143	19.9340623131443	-0.177964058258109	4.93941675954934	9.8090074386436	19.8089821018236	0.0640938018919984	5.2220489483571	10.0608968963526	20.0618272234377	-0.0560709583355836	0.0812026301103304	-0.0631102332885707	-0.0659376868557011	TRUE	TRUE	TRUE	TRUE	TRUE
23	1000	cavi	0.0510000000000019	-0.0562137907645653	5.08070253942361	9.93666658602084	19.9348274680914	-0.176047315870621	4.95076884355334	9.81624993347343	19.8093513257579	0.0636197343414907	5.21063623529388	10.0570832385683	20.0603036104249	-0.0562137907645653	0.0807025394236103	-0.0633334139791604	-0.0651725319086012	TRUE	TRUE	TRUE	TRUE	TRUE
24	1000	gibbs	78.482	0.0754065431172426	4.92778003635175	9.8991871988135	19.8331989281381	-0.0502971380038078	4.79685004269332	9.76062608301737	19.7149196610371	0.198272172560163	5.05737997141363	10.0399321988875	19.9550792510451	0.0754065431172426	-0.0722199636482497	-0.1008128011865	-0.166801071861901	TRUE	TRUE	TRUE	FALSE	FALSE
24	1000	cavi	0.0490000000000066	0.0756470069783459	4.92807425158435	9.89935733798478	19.8336225723074	-0.0450656936734204	4.80643416027766	9.76401772175826	19.7145610514305	0.196359707630112	5.04971434289103	10.0346969542113	19.9526840931844	0.0756470069783459	-0.0719257484156497	-0.10064266201522	-0.166377427692598	TRUE	TRUE	TRUE	FALSE	FALSE
25	1000	gibbs	78.64	-0.00517037892709048	4.89415502770831	9.98482109385859	19.9730744915858	-0.132479824927181	4.7640297722088	9.85418546178804	19.8474071594094	0.123225055161734	5.02413091471314	10.1141473653203	20.0977440269396	-0.00517037892709048	-0.10584497229169	-0.0151789061414096	-0.0269255084142017	TRUE	TRUE	TRUE	TRUE	TRUE
25	1000	cavi	0.0479999999999876	-0.00573638105373389	4.89348813408432	9.98563072027654	19.9735390427941	-0.128644898093691	4.77230793519676	9.85807051781631	19.8500706482642	0.117172135986223	5.01466833297189	10.1131909227368	20.097007437324	-0.00573638105373389	-0.10651186591568	-0.0143692797234607	-0.0264609572058987	TRUE	TRUE	TRUE	TRUE	TRUE
26	1000	gibbs	78.112	0.800064532089948	6.94314998727267	14.8181450127299	20.006590317564	-0.133106468149708	4.82739280162802	9.84567230259798	19.8346820897764	1.74054017778555	9.08559339901657	19.9018246653959	20.2787049419075	0.800064532089948	1.94314998727267	4.8181450127299	0.00659031756400097	TRUE	TRUE	TRUE	TRUE	TRUE
