i	n	method	time	mu_1	mu_2	mu_3	mu_4
125	100	gibbs	7.716	-0.345800138045473	4.63629402076241	9.9042252661824	18.5585280278673
125	100	cavi	0.0299999999999994	-0.22150959399832	4.60739567190175	9.75493737554848	19.050888021396
126	100	gibbs	7.716	0.343350974788653	4.63678015005287	9.82811244335774	19.7202289245903
126	100	cavi	0.0300000000000002	0.293735329925219	4.8773533347393	9.71025316701786	19.331938482209
127	100	gibbs	7.695	0.0117867805313215	4.7744277450021	9.66066766011466	19.550682985656
127	100	cavi	0.0299999999999994	-0.256655146308984	4.87765984943021	9.78336553969321	19.5135230611951
128	100	gibbs	7.958	0.0289255556962136	4.51159488254134	9.66755720956309	19.2137149515569
128	100	cavi	0.032	-0.166050073312286	4.7539578594629	9.67187043957403	19.2126681935301
129	100	gibbs	8.018	-0.552936322966673	4.40328809544128	9.54863386149215	19.0394048975846
129	100	cavi	0.032	-0.270807518871705	4.51573152876028	9.80069631503492	19.0722231878186
130	100	gibbs	7.978	-0.217901321831012	4.80009899817892	9.83146275622743	19.0571899467198
130	100	cavi	0.032	-0.270027349032868	4.99553061084527	9.48946016762136	18.9881400633201
131	100	gibbs	8.005	0.395103229630055	4.98014480577477	9.62100905100724	19.9097653405811
131	100	cavi	0.032	0.304082487287293	4.78122679014078	9.53941630756813	19.60019231233
132	100	gibbs	8.02	-0.217909387009233	4.74949462644745	9.73543126430519	19.0406550336658
132	100	cavi	0.032	-0.0603783650700371	4.88997854832352	9.7499515157244	19.129423410203
133	100	gibbs	7.971	0.318426255656794	4.64295344219981	9.42152812084923	18.9919840167634
133	100	cavi	0.0310000000000006	-0.0519189525502445	4.82652932432241	9.61025521888472	18.7781200718375
134	100	gibbs	8	0.115230920491285	4.95909212170734	9.25752075994062	18.605675517261
134	100	cavi	0.032	0.15670846136393	5.21071315269177	9.43553739837574	18.9249855715651
135	100	gibbs	7.975	-0.124781193797789	5.10615875441303	9.14482155227829	18.9130018447886
135	100	cavi	0.032	0.153029111489403	4.81143278588941	9.26784099386155	18.9282648562725
136	100	gibbs	7.978	-0.323183048480053	4.82892933251508	9.57453033949713	19.4442985544434
136	100	cavi	0.0299999999999994	-0.135082775090063	4.78159795789774	9.54201968785518	19.2837612036245
137	100	gibbs	7.942	-0.195012788703245	4.88402754530252	9.19126684496566	19.5253436448819
137	100	cavi	0.0310000000000006	-0.0871779115332736	4.70971383512277	9.08950883880128	19.0689959736745
138	100	gibbs	7.979	0.115807714466852	5.02826176419926	9.23175200303571	18.8985770820132
138	100	cavi	0.0309999999999988	0.0241092883942921	5.17491800103002	9.19035564019895	19.070192651678
139	100	gibbs	8.035	0.286765123561121	4.78348373989048	9.6901202170545	19.2368088615373
139	100	cavi	0.0289999999999999	0.173779424336576	4.90182898201214	9.74187020086909	19.1049711774653
140	100	gibbs	8.012	-0.136857730432733	5.11201455120589	9.26257889076746	19.8418925880774
140	100	cavi	0.0310000000000006	-0.0171037297858457	4.90619080065093	8.98581470347185	19.5325388262873
141	100	gibbs	7.991	-0.226143015908584	4.35793903136505	9.49163691799243	18.9083304196964
141	100	cavi	0.0310000000000006	-0.151658481796172	4.28231339391577	9.78057928181128	19.121346750636
142	100	gibbs	7.936	-0.10487132973167	5.04403218108232	9.37849220719465	18.6754010719054
142	100	cavi	0.0250000000000004	-0.253305971339942	4.90290026877635	9.21934689748099	18.8637852925645
143	100	gibbs	8.109	-0.204988010292098	4.58963068269055	10.0167933031962	19.5296144880615
143	100	cavi	0.0299999999999994	-0.0554770785271615	4.67516728697238	10.0442188903242	19.2197364587691
144	100	gibbs	7.838	-0.466316000537884	5.07612875594624	9.41827079166483	19.5644310954709
144	100	cavi	0.032	0.0904562053996704	4.82738790272947	9.36849269518902	19.5309058903773
145	100	gibbs	7.879	0.0319615532637629	4.64995827976764	9.84251495726543	18.890678099957
145	100	cavi	0.032	0.0935116384286024	4.92919383445017	9.42189759908397	18.7818652419309
146	100	gibbs	7.879	-0.106643036909115	4.21031874716245	9.90800424308573	19.1376303835628
146	100	cavi	0.032	-0.187641312652853	4.57173595306115	9.57007298141349	19.2149772259637
147	100	gibbs	7.931	-0.360125678875144	4.89285165791201	9.98770422977013	19.4584922430544
147	100	cavi	0.0299999999999994	0.0552960917320395	4.76623161528545	9.73343111990015	19.25301511262
